,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex
53,The girl does not wear a fedora.,The girl does not wear a hat.,neutral,fedora,hat
54,The girl does not wear a hat.,The girl does not wear a sombrero.,entailment,hat,sombrero
55,The girl does not wear a sombrero.,The girl does not wear a hat.,neutral,sombrero,hat
56,a man walks confidently not dropping produce,a man walks confidently not dropping food,neutral,produce,food
57,a man walks confidently not dropping food,a man walks confidently not dropping produce,entailment,food,produce
58,a man walks confidently not dropping produce,a man walks confidently not dropping bananas,entailment,produce,bananas
59,a man walks confidently not dropping bananas,a man walks confidently not dropping produce,neutral,bananas,produce
60,a man walks confidently not dropping produce,a man walks confidently not dropping eggplants,entailment,produce,eggplants
61,a man walks confidently not dropping eggplants,a man walks confidently not dropping produce,neutral,eggplants,produce
62,a man walks confidently not dropping produce,a man walks confidently not dropping papayas,entailment,produce,papayas
63,a man walks confidently not dropping papayas,a man walks confidently not dropping produce,neutral,papayas,produce
64,a man walks confidently not dropping produce,a man walks confidently not dropping cauliflower,entailment,produce,cauliflower
65,a man walks confidently not dropping cauliflowers,a man walks confidently not dropping produce,neutral,cauliflowers,produce
66,a man walks confidently not dropping produce,a man walks confidently not dropping watermelons,entailment,produce,watermelons
67,a man walks confidently not dropping watermelons,a man walks confidently not dropping produce,neutral,watermelons,produce
68,a man walks confidently not dropping produce,a man walks confidently not dropping mangos,entailment,produce,mangos
69,a man walks confidently not dropping mangos,a man walks confidently not dropping produce,neutral,mangos,produce
70,a man walks confidently not dropping produce,a man walks confidently not dropping pears,entailment,produce,pears
71,a man walks confidently not dropping pears,a man walks confidently not dropping produce,neutral,pears,produce
72,a man walks confidently not dropping produce,a man walks confidently not dropping carrots,entailment,produce,carrots
73,a man walks confidently not dropping carrots,a man walks confidently not dropping produce,neutral,carrots,produce
74,a man walks confidently not dropping produce,a man walks confidently not dropping celery,entailment,produce,celery
75,a man walks confidently not dropping celery,a man walks confidently not dropping produce,neutral,celery,produce
76,a man walks confidently not dropping produce,a man walks confidently not dropping onions,entailment,produce,onions
77,a man walks confidently not dropping onions,a man walks confidently not dropping produce,neutral,onions,produce
78,a man walks confidently not dropping produce,a man walks confidently not dropping spinach,entailment,produce,spinach
79,a man walks confidently not dropping spinach,a man walks confidently not dropping produce,neutral,spinach,produce
80,a man walks confidently not dropping produce,a man walks confidently not dropping kale,entailment,produce,kale
81,a man walks confidently not dropping kale,a man walks confidently not dropping produce,neutral,kale,produce
82,a man walks confidently not dropping produce,a man walks confidently not dropping apples,entailment,produce,apples
83,a man walks confidently not dropping apples,a man walks confidently not dropping produce,neutral,apples,produce
84,a man walks confidently not dropping produce,a man walks confidently not dropping lettuce,entailment,produce,lettuce
85,a man walks confidently not dropping lettuce,a man walks confidently not dropping produce,neutral,lettuce,produce
86,a man walks confidently not dropping produce,a man walks confidently not dropping lemons,entailment,produce,lemons
87,a man walks confidently not dropping lemons,a man walks confidently not dropping produce,neutral,lemons,produce
88,a man walks confidently not dropping produce,a man walks confidently not dropping plums,entailment,produce,plums
89,a man walks confidently not dropping plums,a man walks confidently not dropping produce,neutral,plums,produce
90,a man walks confidently not dropping produce,a man walks confidently not dropping tomatoes,entailment,produce,tomatoes
91,a man walks confidently not dropping tomatoes,a man walks confidently not dropping produce,neutral,tomatoes,produce
92,a man walks confidently not dropping produce,a man walks confidently not dropping cucumbers,entailment,produce,cucumbers
93,a man walks confidently not dropping cucumbers,a man walks confidently not dropping produce,neutral,cucumbers,produce
94,a man walks confidently not dropping produce,a man walks confidently not dropping grapes,entailment,produce,grapes
95,a man walks confidently not dropping grapes,a man walks confidently not dropping produce,neutral,grapes,produce
96,a man walks confidently not dropping produce,a man walks confidently not dropping cabbage,entailment,produce,cabbage
97,a man walks confidently not dropping cabbage,a man walks confidently not dropping produce,neutral,cabbage,produce
98,The restaurant does not let oriental people in,The restaurant does not let oriental women in,entailment,people,women
99,The restaurant does not let oriental women in,The restaurant does not let oriental people in,neutral,women,people
100,The restaurant does not let oriental people in,The restaurant does not let oriental youths in,entailment,people,youths
101,The restaurant does not let oriental youths in,The restaurant does not let oriental people in,neutral,youths,people
102,A woman did not like food.,A woman did not like guacamole.,entailment,food,guacamole
103,A woman did not like guacamole.,A woman did not like food.,neutral,guacamole,food
104,A woman did not like food.,A woman did not like omelet.,entailment,food,omelet
105,A woman did not like omelet.,A woman did not like food.,neutral,omelet,food
106,A woman did not like food.,A woman did not like breakfast.,entailment,food,breakfast
107,A woman did not like breakfast.,A woman did not like food.,neutral,breakfast,food
108,A woman did not like food.,A woman did not like soup.,entailment,food,soup
109,A woman did not like soup.,A woman did not like food.,neutral,soup,food
110,A woman did not like food.,A woman did not like meatball.,entailment,food,meatball
111,A woman did not like meatball.,A woman did not like food.,neutral,meatball,food
112,A woman did not like food.,A woman did not like cake.,entailment,food,cake
113,A woman did not like cake.,A woman did not like food.,neutral,cake,food
114,A woman did not like food.,A woman did not like ratatouille.,entailment,food,ratatouille
115,A woman did not like ratatouille.,A woman did not like food.,neutral,ratatouille,food
116,A woman did not like food.,A woman did not like hummus.,entailment,food,hummus
117,A woman did not like hummus.,A woman did not like food.,neutral,hummus,food
118,A woman did not like food.,A woman did not like fondue.,entailment,food,fondue
119,A woman did not like fondue.,A woman did not like food.,neutral,fondue,food
120,A woman did not like food.,A woman did not like rice.,entailment,food,rice
121,A woman did not like rice.,A woman did not like food.,neutral,rice,food
122,A woman did not like food.,A woman did not like pasta.,entailment,food,pasta
123,A woman did not like pasta.,A woman did not like food.,neutral,pasta,food
124,A woman did not like food.,A woman did not like spaghetti.,entailment,food,spaghetti
125,A woman did not like spaghetti.,A woman did not like food.,neutral,spaghetti,food
126,A woman did not like food.,A woman did not like lasagna.,entailment,food,lasagna
127,A woman did not like lasagna.,A woman did not like food.,neutral,lasagna,food
128,A woman did not like food.,A woman did not like eggs.,entailment,food,eggs
129,A woman did not like eggs.,A woman did not like food.,neutral,eggs,food
130,A woman did not like food.,A woman did not like risotto.,entailment,food,risotto
131,A woman did not like risotto.,A woman did not like food.,neutral,risotto,food
132,A woman did not like food.,A woman did not like fries.,entailment,food,fries
133,A woman did not like fries.,A woman did not like food.,neutral,fries,food
134,A woman did not like food.,A woman did not like naan.,entailment,food,naan
135,A woman did not like naan.,A woman did not like food.,neutral,naan,food
136,A woman did not like food.,A woman did not like cereal.,entailment,food,cereal
137,A woman did not like cereal.,A woman did not like food.,neutral,cereal,food
138,A woman did not like food.,A woman did not like kebab.,entailment,food,kebab
139,A woman did not like kebab.,A woman did not like food.,neutral,kebab,food
140,A woman did not like food.,A woman did not like pastry.,entailment,food,pastry
141,A woman did not like pastry.,A woman did not like food.,neutral,pastry,food
142,A woman did not like food.,A woman did not like pretzel.,entailment,food,pretzel
143,A woman did not like pretzel.,A woman did not like food.,neutral,pretzel,food
144,A woman did not like food.,A woman did not like corn.,entailment,food,corn
145,A woman did not like corn.,A woman did not like food.,neutral,corn,food
146,A woman did not like food.,A woman did not like oatmeal.,entailment,food,oatmeal
147,A woman did not like oatmeal.,A woman did not like food.,neutral,oatmeal,food
148,A woman did not like food.,A woman did not like stew.,entailment,food,stew
149,A woman did not like stew.,A woman did not like food.,neutral,stew,food
150,A woman did not like food.,A woman did not like muffin.,entailment,food,muffin
151,A woman did not like muffin.,A woman did not like food.,neutral,muffin,food
152,A woman did not like food.,A woman did not like tofu.,entailment,food,tofu
153,A woman did not like tofu.,A woman did not like food.,neutral,tofu,food
154,A woman did not like food.,A woman did not like cheese.,entailment,food,cheese
155,A woman did not like cheese.,A woman did not like food.,neutral,cheese,food
156,A woman did not like food.,A woman did not like gyro.,entailment,food,gyro
157,A woman did not like gyro.,A woman did not like food.,neutral,gyro,food
158,A woman did not like food.,A woman did not like meatloaf.,entailment,food,meatloaf
159,A woman did not like meatloaf.,A woman did not like food.,neutral,meatloaf,food
160,A woman did not like food.,A woman did not like sandwich.,entailment,food,sandwich
161,A woman did not like sandwich.,A woman did not like food.,neutral,sandwich,food
162,A woman did not like food.,A woman did not like bread.,entailment,food,bread
163,A woman did not like bread.,A woman did not like food.,neutral,bread,food
164,A woman did not like food.,A woman did not like bagel.,entailment,food,bagel
165,A woman did not like bagel.,A woman did not like food.,neutral,bagel,food
166,A woman did not like food.,A woman did not like hotdog.,entailment,food,hotdog
167,A woman did not like hotdog.,A woman did not like food.,neutral,hotdog,food
168,A woman did not like food.,A woman did not like burrito.,entailment,food,burrito
169,A woman did not like burrito.,A woman did not like food.,neutral,burrito,food
170,A woman did not like food.,A woman did not like sushi.,entailment,food,sushi
171,A woman did not like sushi.,A woman did not like food.,neutral,sushi,food
172,A woman did not like food.,A woman did not like popcorn.,entailment,food,popcorn
173,A woman did not like popcorn.,A woman did not like food.,neutral,popcorn,food
174,A woman did not like food.,A woman did not like cheeseburger.,entailment,food,cheeseburger
175,A woman did not like cheeseburger.,A woman did not like food.,neutral,cheeseburger,food
176,A woman did not like food.,A woman did not like pizza.,entailment,food,pizza
177,A woman did not like pizza.,A woman did not like food.,neutral,pizza,food
178,A woman did not like food.,A woman did not like curry.,entailment,food,curry
179,A woman did not like curry.,A woman did not like food.,neutral,curry,food
180,A woman did not like food.,A woman did not like meatloaf.,entailment,food,meatloaf
181,A woman did not like meatloaf.,A woman did not like food.,neutral,meatloaf,food
182,A woman did not like food.,A woman did not like yogurt.,entailment,food,yogurt
183,A woman did not like yogurt.,A woman did not like food.,neutral,yogurt,food
184,A woman did not like food.,A woman did not like pudding.,entailment,food,pudding
185,A woman did not like pudding.,A woman did not like food.,neutral,pudding,food
186,A woman did not like food.,A woman did not like falafel.,entailment,food,falafel
187,A woman did not like falafel.,A woman did not like food.,neutral,falafel,food
188,A woman did not like food.,A woman did not like pita.,entailment,food,pita
189,A woman did not like pita.,A woman did not like food.,neutral,pita,food
190,A woman did not like food.,A woman did not like hamburger.,entailment,food,hamburger
191,A woman did not like hamburger.,A woman did not like food.,neutral,hamburger,food
192,The man is not wearing jewelry.,The man is not wearing bracelets.,entailment,jewelry,bracelets
193,The man is not wearing bracelets.,The man is not wearing jewelry.,neutral,bracelets,jewelry
194,The man is not wearing jewelry.,The man is not wearing rings.,entailment,jewelry,rings
195,The man is not wearing rings.,The man is not wearing jewelry.,neutral,rings,jewelry
196,The man is not wearing jewelry.,The man is not wearing necklaces.,entailment,jewelry,necklaces
197,The man is not wearing necklaces.,The man is not wearing jewelry.,neutral,necklaces,jewelry
198,The man is not wearing jewelry.,The man is not wearing earrings.,entailment,jewelry,earrings
199,The man is not wearing earrings.,The man is not wearing jewelry.,neutral,earrings,jewelry
200,The little boy is not wearing any clothes.,The little boy is not wearing any jeans.,entailment,clothes,jeans
201,The little boy is not wearing any jeans.,The little boy is not wearing any clothes.,neutral,jeans,clothes
202,The woman is not wearing shoes.,The woman is not wearing sneakers.,entailment,shoes,sneakers
203,The woman is not wearing sneakers.,The woman is not wearing shoes.,neutral,sneakers,shoes
204,The woman is not wearing shoes.,The woman is not wearing pumps.,entailment,shoes,pumps
205,The woman is not wearing pumps.,The woman is not wearing shoes.,neutral,pumps,shoes
206,The woman is not wearing shoes.,The woman is not wearing sandals.,entailment,shoes,sandals
207,The woman is not wearing sandals.,The woman is not wearing shoes.,neutral,sandals,shoes
208,The woman is not cutting a cake.,The woman is not cutting a cheesecake.,entailment,cake,cheesecake
209,The woman is not cutting a cheesecake.,The woman is not cutting a cake.,neutral,cheesecake,cake
210,The woman is not cutting a cake.,The woman is not cutting a fruitcake.,entailment,cake,fruitcake
211,The woman is not cutting a fruitcake.,The woman is not cutting a cake.,neutral,fruitcake,cake
212,The people are not playing instruments.,The people are not playing tubas.,entailment,instruments,tubas
213,The people are not playing tubas.,The people are not playing instruments.,neutral,tubas,instruments
214,The people are not playing instruments.,The people are not playing drums.,entailment,instruments,drums
215,The people are not playing drums.,The people are not playing instruments.,neutral,drums,instruments
216,The people are not playing instruments.,The people are not playing organs.,entailment,instruments,organs
217,The people are not playing organs.,The people are not playing instruments.,neutral,organs,instruments
218,The people are not playing instruments.,The people are not playing violins.,entailment,instruments,violins
219,The people are not playing violins.,The people are not playing instruments.,neutral,violins,instruments
220,The people are not playing instruments.,The people are not playing flutes.,entailment,instruments,flutes
221,The people are not playing flutes.,The people are not playing instruments.,neutral,flutes,instruments
222,The people are not playing instruments.,The people are not playing snares.,entailment,instruments,snares
223,The people are not playing snares.,The people are not playing instruments.,neutral,snares,instruments
224,The people are not playing instruments.,The people are not playing xylophones.,entailment,instruments,xylophones
225,The people are not playing xylophones.,The people are not playing instruments.,neutral,xylophones,instruments
226,The people are not playing instruments.,The people are not playing trombones.,entailment,instruments,trombones
227,The people are not playing trombones.,The people are not playing instruments.,neutral,trombones,instruments
228,The people are not playing instruments.,The people are not playing oboes.,entailment,instruments,oboes
229,The people are not playing oboes.,The people are not playing instruments.,neutral,oboes,instruments
230,The people are not playing instruments.,The people are not playing sitars.,entailment,instruments,sitars
231,The people are not playing sitars.,The people are not playing instruments.,neutral,sitars,instruments
232,The people are not playing instruments.,The people are not playing clarinets.,entailment,instruments,clarinets
233,The people are not playing clarinets.,The people are not playing instruments.,neutral,clarinets,instruments
234,The people are not playing instruments.,The people are not playing tambourines.,entailment,instruments,tambourines
235,The people are not playing tambourines.,The people are not playing instruments.,neutral,tambourines,instruments
236,The people are not playing instruments.,The people are not playing accordions.,entailment,instruments,accordions
237,The people are not playing accordions.,The people are not playing instruments.,neutral,accordions,instruments
238,The people are not playing instruments.,The people are not playing bagpipes.,entailment,instruments,bagpipes
239,The people are not playing bagpipes.,The people are not playing instruments.,neutral,bagpipes,instruments
240,The people are not playing instruments.,The people are not playing trumpets.,entailment,instruments,trumpets
241,The people are not playing trumpets.,The people are not playing instruments.,neutral,trumpets,instruments
242,The people are not playing instruments.,The people are not playing horns.,entailment,instruments,horns
243,The people are not playing horns.,The people are not playing instruments.,neutral,horns,instruments
244,The people are not playing instruments.,The people are not playing guitars.,entailment,instruments,guitars
245,The people are not playing guitars.,The people are not playing instruments.,neutral,guitars,instruments
246,The man is not listening to music.,The man is not listening to jazz.,entailment,music,jazz
247,The man is not listening to jazz.,The man is not listening to music.,neutral,jazz,music
248,The man is not listening to music.,The man is not listening to blues.,entailment,music,blues
249,The man is not listening to blues.,The man is not listening to music.,neutral,blues,music
250,The man is not listening to music.,The man is not listening to Mozart.,entailment,music,mozart
251,The man is not listening to Mozart.,The man is not listening to music.,neutral,mozart,music
252,The man is not listening to music.,The man is not listening to disco.,entailment,music,disco
253,The man is not listening to disco.,The man is not listening to music.,neutral,disco,music
254,The man is not listening to music.,The man is not listening to rap.,entailment,music,rap
255,The man is not listening to rap.,The man is not listening to music.,neutral,rap,music
256,The man is not listening to music.,The man is not listening to boogie.,entailment,music,boogie
257,The man is not listening to boogie.,The man is not listening to music.,neutral,boogie,music
258,The man is not listening to music.,The man is not listening to reggae.,entailment,music,reggae
259,The man is not listening to reggae.,The man is not listening to music.,neutral,reggae,music
260,The man is not listening to music.,The man is not listening to Bach.,entailment,music,bach
261,The man is not listening to Bach.,The man is not listening to music.,neutral,bach,music
262,The man is not listening to music.,The man is not listening to gospel.,entailment,music,gospel
263,The man is not listening to gospel.,The man is not listening to music.,neutral,gospel,music
264,The man is not listening to music.,The man is not listening to punk.,entailment,music,punk
265,The man is not listening to punk.,The man is not listening to music.,neutral,punk,music
266,The man is not listening to music.,The man is not listening to classical.,entailment,music,classical
267,The man is not listening to classical.,The man is not listening to music.,neutral,classical,music
268,The man is not listening to music.,The man is not listening to polka.,entailment,music,polka
269,The man is not listening to polka.,The man is not listening to music.,neutral,polka,music
270,The man is not listening to music.,The man is not listening to bluegrass.,entailment,music,bluegrass
271,The man is not listening to bluegrass.,The man is not listening to music.,neutral,bluegrass,music
272,The man is not listening to music.,The man is not listening to hip-hop.,entailment,music,hip-hop
273,The man is not listening to hip-hop.,The man is not listening to music.,neutral,hip-hop,music
274,The man is not listening to music.,The man is not listening to folk.,entailment,music,folk
275,The man is not listening to folk.,The man is not listening to music.,neutral,folk,music
276,The man is not listening to music.,The man is not listening to samba.,entailment,music,samba
277,The man is not listening to samba.,The man is not listening to music.,neutral,samba,music
278,The man is not listening to music.,The man is not listening to ragtime.,entailment,music,ragtime
279,The man is not listening to ragtime.,The man is not listening to music.,neutral,ragtime,music
280,The man is not listening to music.,The man is not listening to opera.,entailment,music,opera
281,The man is not listening to opera.,The man is not listening to music.,neutral,opera,music
282,The man is not listening to music.,The man is not listening to Chopin.,entailment,music,chopin
283,The man is not listening to Chopin.,The man is not listening to music.,neutral,chopin,music
284,The man is not listening to music.,The man is not listening to techno.,entailment,music,techno
285,The man is not listening to techno.,The man is not listening to music.,neutral,techno,music
286,The man is not listening to music.,The man is not listening to Wagner.,entailment,music,wagner
287,The man is not listening to Wagner.,The man is not listening to music.,neutral,wagner,music
288,The man is not listening to music.,The man is not listening to rockabilly.,entailment,music,rockabilly
289,The man is not listening to rockabilly.,The man is not listening to music.,neutral,rockabilly,music
290,The man is not listening to music.,The man is not listening to Beethoven.,entailment,music,beethoven
291,The man is not listening to Beethoven.,The man is not listening to music.,neutral,beethoven,music
292,The man is not listening to music.,The man is not listening to rock.,entailment,music,rock
293,The man is not listening to rock.,The man is not listening to music.,neutral,rock,music
294,The man is not listening to music.,The man is not listening to soul.,entailment,music,soul
295,The man is not listening to soul.,The man is not listening to music.,neutral,soul,music
296,The man is not listening to music.,The man is not listening to swing.,entailment,music,swing
297,The man is not listening to swing.,The man is not listening to music.,neutral,swing,music
298,A man is not wearing a hat.,A man is not wearing a sombrero.,entailment,hat,sombrero
299,A man is not wearing a sombrero.,A man is not wearing a hat.,neutral,sombrero,hat
300,A man is not wearing a hat.,A man is not wearing a bowler.,entailment,hat,bowler
301,A man is not wearing a bowler.,A man is not wearing a hat.,neutral,bowler,hat
302,A man is not wearing a hat.,A man is not wearing a fedora.,entailment,hat,fedora
303,A man is not wearing a fedora.,A man is not wearing a hat.,neutral,fedora,hat
304,A man is not wearing a hat.,A man is not wearing a sunhat.,entailment,hat,sunhat
305,A man is not wearing a sunhat.,A man is not wearing a hat.,neutral,sunhat,hat
306,There is not a single person walking in the city.,There is not a single sculptor walking in the city.,entailment,person,sculptor
307,There is not a single sculptor walking in the city.,There is not a single person walking in the city.,neutral,sculptor,person
308,There is not a single person walking in the city.,There is not a single mover walking in the city.,entailment,person,mover
309,There is not a single mover walking in the city.,There is not a single person walking in the city.,neutral,mover,person
310,There is not a single person walking in the city.,There is not a single matriarch walking in the city.,entailment,person,matriarch
311,There is not a single matriarch walking in the city.,There is not a single person walking in the city.,neutral,matriarch,person
312,There is not a single person walking in the city.,There is not a single landscaper walking in the city.,entailment,person,landscaper
313,There is not a single landscaper walking in the city.,There is not a single person walking in the city.,neutral,landscaper,person
314,There is not a single person walking in the city.,There is not a single nanny walking in the city.,entailment,person,nanny
315,There is not a single nanny walking in the city.,There is not a single person walking in the city.,neutral,nanny,person
316,There is not a single person walking in the city.,There is not a single ambassador walking in the city.,entailment,person,ambassador
317,There is not a single ambassador walking in the city.,There is not a single person walking in the city.,neutral,ambassador,person
318,There is not a single person walking in the city.,There is not a single rescuer walking in the city.,entailment,person,rescuer
319,There is not a single rescuer walking in the city.,There is not a single person walking in the city.,neutral,rescuer,person
320,There is not a single person walking in the city.,There is not a single Persian walking in the city.,entailment,person,persian
321,There is not a single Persian walking in the city.,There is not a single person walking in the city.,neutral,persian,person
322,There is not a single person walking in the city.,There is not a single volunteer walking in the city.,entailment,person,volunteer
323,There is not a single volunteer walking in the city.,There is not a single person walking in the city.,neutral,volunteer,person
324,There is not a single person walking in the city.,There is not a single Greek walking in the city.,entailment,person,greek
325,There is not a single Greek walking in the city.,There is not a single person walking in the city.,neutral,greek,person
326,There is not a single person walking in the city.,There is not a single gambler walking in the city.,entailment,person,gambler
327,There is not a single gambler walking in the city.,There is not a single person walking in the city.,neutral,gambler,person
328,There is not a single person walking in the city.,There is not a single debutante walking in the city.,entailment,person,debutante
329,There is not a single debutante walking in the city.,There is not a single person walking in the city.,neutral,debutante,person
330,There is not a single person walking in the city.,There is not a single girl walking in the city.,entailment,person,girl
331,There is not a single girl walking in the city.,There is not a single person walking in the city.,neutral,girl,person
332,There is not a single person walking in the city.,There is not a single painter walking in the city.,entailment,person,painter
333,There is not a single painter walking in the city.,There is not a single person walking in the city.,neutral,painter,person
334,There is not a single person walking in the city.,There is not a single politician walking in the city.,entailment,person,politician
335,There is not a single politician walking in the city.,There is not a single person walking in the city.,neutral,politician,person
336,There is not a single person walking in the city.,There is not a single woman walking in the city.,entailment,person,woman
337,There is not a single woman walking in the city.,There is not a single person walking in the city.,neutral,woman,person
338,There is not a single person walking in the city.,There is not a single prince walking in the city.,entailment,person,prince
339,There is not a single prince walking in the city.,There is not a single person walking in the city.,neutral,prince,person
340,There is not a single person walking in the city.,There is not a single butcher walking in the city.,entailment,person,butcher
341,There is not a single butcher walking in the city.,There is not a single person walking in the city.,neutral,butcher,person
342,There is not a single person walking in the city.,There is not a single juvenile walking in the city.,entailment,person,juvenile
343,There is not a single juvenile walking in the city.,There is not a single person walking in the city.,neutral,juvenile,person
344,There is not a single person walking in the city.,There is not a single pagan walking in the city.,entailment,person,pagan
345,There is not a single pagan walking in the city.,There is not a single person walking in the city.,neutral,pagan,person
346,There is not a single person walking in the city.,There is not a single craftsman walking in the city.,entailment,person,craftsman
347,There is not a single craftsman walking in the city.,There is not a single person walking in the city.,neutral,craftsman,person
348,There is not a single person walking in the city.,There is not a single nerd walking in the city.,entailment,person,nerd
349,There is not a single nerd walking in the city.,There is not a single person walking in the city.,neutral,nerd,person
350,There is not a single person walking in the city.,There is not a single psychic walking in the city.,entailment,person,psychic
351,There is not a single psychic walking in the city.,There is not a single person walking in the city.,neutral,psychic,person
352,There is not a single person walking in the city.,There is not a single Indonesian walking in the city.,entailment,person,indonesian
353,There is not a single Indonesian walking in the city.,There is not a single person walking in the city.,neutral,indonesian,person
354,There is not a single person walking in the city.,There is not a single smith walking in the city.,entailment,person,smith
355,There is not a single smith walking in the city.,There is not a single person walking in the city.,neutral,smith,person
356,There is not a single person walking in the city.,There is not a single skier walking in the city.,entailment,person,skier
357,There is not a single skier walking in the city.,There is not a single person walking in the city.,neutral,skier,person
358,There is not a single person walking in the city.,There is not a single conservative walking in the city.,entailment,person,conservative
359,There is not a single conservative walking in the city.,There is not a single person walking in the city.,neutral,conservative,person
360,There is not a single person walking in the city.,There is not a single addict walking in the city.,entailment,person,addict
361,There is not a single addict walking in the city.,There is not a single person walking in the city.,neutral,addict,person
362,There is not a single person walking in the city.,There is not a single gymnast walking in the city.,entailment,person,gymnast
363,There is not a single gymnast walking in the city.,There is not a single person walking in the city.,neutral,gymnast,person
364,There is not a single person walking in the city.,There is not a single convict walking in the city.,entailment,person,convict
365,There is not a single convict walking in the city.,There is not a single person walking in the city.,neutral,convict,person
366,There is not a single person walking in the city.,There is not a single serviceman walking in the city.,entailment,person,serviceman
367,There is not a single serviceman walking in the city.,There is not a single person walking in the city.,neutral,serviceman,person
368,There is not a single person walking in the city.,There is not a single African walking in the city.,entailment,person,african
