,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex,group_index,sentence1_edited,sentence2_edited,gold_label_edited
47,The three children are not holding houseplants.,The three children are not holding plants.,neutral,houseplants,plants,4,"The three children are not in the classroom, but they are holding houseplants.","The three children are not in the classroom, but they are holding plants.",entailment
48,The three children are not holding plants.,The three children are not holding ferns.,entailment,plants,ferns,4,"The three children are not in the classroom, but they are holding plants.","The three children are not in the classroom, but they are holding ferns.",neutral
49,The three children are not holding ferns.,The three children are not holding plants.,neutral,ferns,plants,4,"The three children are not in the classroom, but they are holding ferns.","The three children are not in the classroom, but they are holding plants.",entailment
50,The girl does not wear a hat.,The girl does not wear a sunhat.,entailment,hat,sunhat,5,The girl wearing a hat does not go on walks.,The girl wearing a sunhat does not go on walks.,neutral
51,The girl does not wear a sunhat.,The girl does not wear a hat.,neutral,sunhat,hat,5,The girl wearing a sunhat does not go on walks.,The girl wearing a hat does not go on walks.,entailment
52,The girl does not wear a hat.,The girl does not wear a fedora.,entailment,hat,fedora,5,The girl wearing a hat does not go on walks.,The girl wearing a fedora does not go on walks.,neutral
53,The girl does not wear a fedora.,The girl does not wear a hat.,neutral,fedora,hat,5,The girl wearing a fedora does not go on walks.,The girl wearing a hat does not go on walks.,entailment
54,The girl does not wear a hat.,The girl does not wear a sombrero.,entailment,hat,sombrero,5,The girl wearing a hat does not go on walks.,The girl wearing a sombrero does not go on walks.,neutral
55,The girl does not wear a sombrero.,The girl does not wear a hat.,neutral,sombrero,hat,5,The girl wearing a sombrero does not go on walks.,The girl wearing a hat does not go on walks.,entailment
56,a man walks confidently not dropping produce,a man walks confidently not dropping food,neutral,produce,food,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping food.,entailment
57,a man walks confidently not dropping food,a man walks confidently not dropping produce,entailment,food,produce,6,A man who does not walk confidently dropping food.,A man who does not walk confidently dropping produce.,neutral
58,a man walks confidently not dropping produce,a man walks confidently not dropping bananas,entailment,produce,bananas,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping bananas.,neutral
59,a man walks confidently not dropping bananas,a man walks confidently not dropping produce,neutral,bananas,produce,6,A man who does not walk confidently dropping bananas.,A man who does not walk confidently dropping produce.,entailment
60,a man walks confidently not dropping produce,a man walks confidently not dropping eggplants,entailment,produce,eggplants,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping eggplants.,neutral
61,a man walks confidently not dropping eggplants,a man walks confidently not dropping produce,neutral,eggplants,produce,6,A man who does not walk confidently dropping eggplants.,A man who does not walk confidently dropping produce.,entailment
62,a man walks confidently not dropping produce,a man walks confidently not dropping papayas,entailment,produce,papayas,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping papayas.,neutral
63,a man walks confidently not dropping papayas,a man walks confidently not dropping produce,neutral,papayas,produce,6,A man who does not walk confidently dropping papayas.,A man who does not walk confidently dropping produce.,entailment
64,a man walks confidently not dropping produce,a man walks confidently not dropping cauliflower,entailment,produce,cauliflower,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping cauliflower.,neutral
65,a man walks confidently not dropping cauliflowers,a man walks confidently not dropping produce,neutral,cauliflowers,produce,6,A man who does not walk confidently dropping cauliflowers.,A man who does not walk confidently dropping produce.,entailment
66,a man walks confidently not dropping produce,a man walks confidently not dropping watermelons,entailment,produce,watermelons,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping watermelons.,neutral
67,a man walks confidently not dropping watermelons,a man walks confidently not dropping produce,neutral,watermelons,produce,6,A man who does not walk confidently dropping watermelons.,A man who does not walk confidently dropping produce.,entailment
68,a man walks confidently not dropping produce,a man walks confidently not dropping mangos,entailment,produce,mangos,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping mangos.,neutral
69,a man walks confidently not dropping mangos,a man walks confidently not dropping produce,neutral,mangos,produce,6,A man who does not walk confidently dropping mangos.,A man who does not walk confidently dropping produce.,entailment
70,a man walks confidently not dropping produce,a man walks confidently not dropping pears,entailment,produce,pears,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping pears.,neutral
71,a man walks confidently not dropping pears,a man walks confidently not dropping produce,neutral,pears,produce,6,A man who does not walk confidently dropping pears.,A man who does not walk confidently dropping produce.,entailment
72,a man walks confidently not dropping produce,a man walks confidently not dropping carrots,entailment,produce,carrots,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping carrots.,neutral
73,a man walks confidently not dropping carrots,a man walks confidently not dropping produce,neutral,carrots,produce,6,A man who does not walk confidently dropping carrots.,A man who does not walk confidently dropping produce.,entailment
74,a man walks confidently not dropping produce,a man walks confidently not dropping celery,entailment,produce,celery,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping celery.,neutral
75,a man walks confidently not dropping celery,a man walks confidently not dropping produce,neutral,celery,produce,6,A man who does not walk confidently dropping celery.,A man who does not walk confidently dropping produce.,entailment
76,a man walks confidently not dropping produce,a man walks confidently not dropping onions,entailment,produce,onions,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping onions.,neutral
77,a man walks confidently not dropping onions,a man walks confidently not dropping produce,neutral,onions,produce,6,A man who does not walk confidently dropping onions.,A man who does not walk confidently dropping produce.,entailment
78,a man walks confidently not dropping produce,a man walks confidently not dropping spinach,entailment,produce,spinach,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping spinach.,neutral
79,a man walks confidently not dropping spinach,a man walks confidently not dropping produce,neutral,spinach,produce,6,A man who does not walk confidently dropping spinach.,A man who does not walk confidently dropping produce.,entailment
80,a man walks confidently not dropping produce,a man walks confidently not dropping kale,entailment,produce,kale,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping kale.,neutral
81,a man walks confidently not dropping kale,a man walks confidently not dropping produce,neutral,kale,produce,6,A man who does not walk confidently dropping kale.,A man who does not walk confidently dropping produce.,entailment
82,a man walks confidently not dropping produce,a man walks confidently not dropping apples,entailment,produce,apples,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping apples.,neutral
83,a man walks confidently not dropping apples,a man walks confidently not dropping produce,neutral,apples,produce,6,A man who does not walk confidently dropping apples.,A man who does not walk confidently dropping produce.,entailment
84,a man walks confidently not dropping produce,a man walks confidently not dropping lettuce,entailment,produce,lettuce,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping lettuce.,neutral
85,a man walks confidently not dropping lettuce,a man walks confidently not dropping produce,neutral,lettuce,produce,6,A man who does not walk confidently dropping lettuce.,A man who does not walk confidently dropping produce.,entailment
86,a man walks confidently not dropping produce,a man walks confidently not dropping lemons,entailment,produce,lemons,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping lemons.,neutral
87,a man walks confidently not dropping lemons,a man walks confidently not dropping produce,neutral,lemons,produce,6,A man who does not walk confidently dropping lemons.,A man who does not walk confidently dropping produce.,entailment
88,a man walks confidently not dropping produce,a man walks confidently not dropping plums,entailment,produce,plums,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping plums.,neutral
89,a man walks confidently not dropping plums,a man walks confidently not dropping produce,neutral,plums,produce,6,A man who does not walk confidently dropping plums.,A man who does not walk confidently dropping produce.,entailment
90,a man walks confidently not dropping produce,a man walks confidently not dropping tomatoes,entailment,produce,tomatoes,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping tomatoes.,neutral
91,a man walks confidently not dropping tomatoes,a man walks confidently not dropping produce,neutral,tomatoes,produce,6,A man who does not walk confidently dropping tomatoes.,A man who does not walk confidently dropping produce.,entailment
92,a man walks confidently not dropping produce,a man walks confidently not dropping cucumbers,entailment,produce,cucumbers,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping cucumbers.,neutral
93,a man walks confidently not dropping cucumbers,a man walks confidently not dropping produce,neutral,cucumbers,produce,6,A man who does not walk confidently dropping cucumbers.,A man who does not walk confidently dropping produce.,entailment
94,a man walks confidently not dropping produce,a man walks confidently not dropping grapes,entailment,produce,grapes,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping grapes.,neutral
95,a man walks confidently not dropping grapes,a man walks confidently not dropping produce,neutral,grapes,produce,6,A man who does not walk confidently dropping grapes.,A man who does not walk confidently dropping produce.,entailment
96,a man walks confidently not dropping produce,a man walks confidently not dropping cabbage,entailment,produce,cabbage,6,A man who does not walk confidently dropping produce.,A man who does not walk confidently dropping cabbage.,neutral
97,a man walks confidently not dropping cabbage,a man walks confidently not dropping produce,neutral,cabbage,produce,6,A man who does not walk confidently dropping cabbage.,A man who does not walk confidently dropping produce.,entailment
98,The restaurant does not let oriental people in,The restaurant does not let oriental women in,entailment,people,women,7,The restaurant that lets tall people in does not accept cash.,The restaurant that lets tall women in does not accept cash.,neutral
99,The restaurant does not let oriental women in,The restaurant does not let oriental people in,neutral,women,people,7,The restaurant that lets tall women in does not accept cash.,The restaurant that lets tall people in does not accept cash.,entailment
100,The restaurant does not let oriental people in,The restaurant does not let oriental youths in,entailment,people,youths,7,The restaurant that lets tall people in does not accept cash.,The restaurant that lets tall youths in does not accept cash.,neutral
101,The restaurant does not let oriental youths in,The restaurant does not let oriental people in,neutral,youths,people,7,The restaurant that lets tall youths in does not accept cash.,The restaurant that lets tall people in does not accept cash.,entailment
102,A woman did not like food.,A woman did not like guacamole.,entailment,food,guacamole,8,"A woman liked food, but not meal replacements.","A woman liked guacamole, but not meal replacements.",neutral
103,A woman did not like guacamole.,A woman did not like food.,neutral,guacamole,food,8,"A woman liked guacamole, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
104,A woman did not like food.,A woman did not like omelet.,entailment,food,omelet,8,"A woman liked food, but not meal replacements.","A woman liked omelet, but not meal replacements.",neutral
105,A woman did not like omelet.,A woman did not like food.,neutral,omelet,food,8,"A woman liked omelet, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
106,A woman did not like food.,A woman did not like breakfast.,entailment,food,breakfast,8,"A woman liked food, but not meal replacements.","A woman liked breakfast, but not meal replacements.",neutral
107,A woman did not like breakfast.,A woman did not like food.,neutral,breakfast,food,8,"A woman liked breakfast, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
108,A woman did not like food.,A woman did not like soup.,entailment,food,soup,8,"A woman liked food, but not meal replacements.","A woman liked soup, but not meal replacements.",neutral
109,A woman did not like soup.,A woman did not like food.,neutral,soup,food,8,"A woman liked soup, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
110,A woman did not like food.,A woman did not like meatball.,entailment,food,meatball,8,"A woman liked food, but not meal replacements.","A woman liked meatball, but not meal replacements.",neutral
111,A woman did not like meatball.,A woman did not like food.,neutral,meatball,food,8,"A woman liked meatball, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
112,A woman did not like food.,A woman did not like cake.,entailment,food,cake,8,"A woman liked food, but not meal replacements.","A woman liked cake, but not meal replacements.",neutral
113,A woman did not like cake.,A woman did not like food.,neutral,cake,food,8,"A woman liked cake, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
114,A woman did not like food.,A woman did not like ratatouille.,entailment,food,ratatouille,8,"A woman liked food, but not meal replacements.","A woman liked ratatouille, but not meal replacements.",neutral
115,A woman did not like ratatouille.,A woman did not like food.,neutral,ratatouille,food,8,"A woman liked ratatouille, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
116,A woman did not like food.,A woman did not like hummus.,entailment,food,hummus,8,"A woman liked food, but not meal replacements.","A woman liked hummus, but not meal replacements.",neutral
117,A woman did not like hummus.,A woman did not like food.,neutral,hummus,food,8,"A woman liked hummus, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
118,A woman did not like food.,A woman did not like fondue.,entailment,food,fondue,8,"A woman liked food, but not meal replacements.","A woman liked fondue, but not meal replacements.",neutral
119,A woman did not like fondue.,A woman did not like food.,neutral,fondue,food,8,"A woman liked fondue, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
120,A woman did not like food.,A woman did not like rice.,entailment,food,rice,8,"A woman liked food, but not meal replacements.","A woman liked rice, but not meal replacements.",neutral
121,A woman did not like rice.,A woman did not like food.,neutral,rice,food,8,"A woman liked rice, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
122,A woman did not like food.,A woman did not like pasta.,entailment,food,pasta,8,"A woman liked food, but not meal replacements.","A woman liked pasta, but not meal replacements.",neutral
123,A woman did not like pasta.,A woman did not like food.,neutral,pasta,food,8,"A woman liked pasta, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
124,A woman did not like food.,A woman did not like spaghetti.,entailment,food,spaghetti,8,"A woman liked food, but not meal replacements.","A woman liked spaghetti, but not meal replacements.",neutral
125,A woman did not like spaghetti.,A woman did not like food.,neutral,spaghetti,food,8,"A woman liked spaghetti, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
126,A woman did not like food.,A woman did not like lasagna.,entailment,food,lasagna,8,"A woman liked food, but not meal replacements.","A woman liked lasagna, but not meal replacements.",neutral
127,A woman did not like lasagna.,A woman did not like food.,neutral,lasagna,food,8,"A woman liked lasagna, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
128,A woman did not like food.,A woman did not like eggs.,entailment,food,eggs,8,"A woman liked food, but not meal replacements.","A woman liked eggs, but not meal replacements.",neutral
129,A woman did not like eggs.,A woman did not like food.,neutral,eggs,food,8,"A woman liked eggs, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
130,A woman did not like food.,A woman did not like risotto.,entailment,food,risotto,8,"A woman liked food, but not meal replacements.","A woman liked risotto, but not meal replacements.",neutral
131,A woman did not like risotto.,A woman did not like food.,neutral,risotto,food,8,"A woman liked risotto, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
132,A woman did not like food.,A woman did not like fries.,entailment,food,fries,8,"A woman liked food, but not meal replacements.","A woman liked fries, but not meal replacements.",neutral
133,A woman did not like fries.,A woman did not like food.,neutral,fries,food,8,"A woman liked fries, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
134,A woman did not like food.,A woman did not like naan.,entailment,food,naan,8,"A woman liked food, but not meal replacements.","A woman liked naan, but not meal replacements.",neutral
135,A woman did not like naan.,A woman did not like food.,neutral,naan,food,8,"A woman liked naan, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
136,A woman did not like food.,A woman did not like cereal.,entailment,food,cereal,8,"A woman liked food, but not meal replacements.","A woman liked cereal, but not meal replacements.",neutral
137,A woman did not like cereal.,A woman did not like food.,neutral,cereal,food,8,"A woman liked cereal, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
138,A woman did not like food.,A woman did not like kebab.,entailment,food,kebab,8,"A woman liked food, but not meal replacements.","A woman liked kebab, but not meal replacements.",neutral
139,A woman did not like kebab.,A woman did not like food.,neutral,kebab,food,8,"A woman liked kebab, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
140,A woman did not like food.,A woman did not like pastry.,entailment,food,pastry,8,"A woman liked food, but not meal replacements.","A woman liked pastry, but not meal replacements.",neutral
141,A woman did not like pastry.,A woman did not like food.,neutral,pastry,food,8,"A woman liked pastry, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
142,A woman did not like food.,A woman did not like pretzel.,entailment,food,pretzel,8,"A woman liked food, but not meal replacements.","A woman liked pretzel, but not meal replacements.",neutral
143,A woman did not like pretzel.,A woman did not like food.,neutral,pretzel,food,8,"A woman liked pretzel, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
144,A woman did not like food.,A woman did not like corn.,entailment,food,corn,8,"A woman liked food, but not meal replacements.","A woman liked corn, but not meal replacements.",neutral
145,A woman did not like corn.,A woman did not like food.,neutral,corn,food,8,"A woman liked corn, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
146,A woman did not like food.,A woman did not like oatmeal.,entailment,food,oatmeal,8,"A woman liked food, but not meal replacements.","A woman liked oatmeal, but not meal replacements.",neutral
147,A woman did not like oatmeal.,A woman did not like food.,neutral,oatmeal,food,8,"A woman liked oatmeal, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
148,A woman did not like food.,A woman did not like stew.,entailment,food,stew,8,"A woman liked food, but not meal replacements.","A woman liked stew, but not meal replacements.",neutral
149,A woman did not like stew.,A woman did not like food.,neutral,stew,food,8,"A woman liked stew, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
150,A woman did not like food.,A woman did not like muffin.,entailment,food,muffin,8,"A woman liked food, but not meal replacements.","A woman liked muffin, but not meal replacements.",neutral
151,A woman did not like muffin.,A woman did not like food.,neutral,muffin,food,8,"A woman liked muffin, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
152,A woman did not like food.,A woman did not like tofu.,entailment,food,tofu,8,"A woman liked food, but not meal replacements.","A woman liked tofu, but not meal replacements.",neutral
153,A woman did not like tofu.,A woman did not like food.,neutral,tofu,food,8,"A woman liked tofu, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
154,A woman did not like food.,A woman did not like cheese.,entailment,food,cheese,8,"A woman liked food, but not meal replacements.","A woman liked cheese, but not meal replacements.",neutral
155,A woman did not like cheese.,A woman did not like food.,neutral,cheese,food,8,"A woman liked cheese, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
156,A woman did not like food.,A woman did not like gyro.,entailment,food,gyro,8,"A woman liked food, but not meal replacements.","A woman liked gyro, but not meal replacements.",neutral
157,A woman did not like gyro.,A woman did not like food.,neutral,gyro,food,8,"A woman liked gyro, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
158,A woman did not like food.,A woman did not like meatloaf.,entailment,food,meatloaf,8,"A woman liked food, but not meal replacements.","A woman liked meatloaf, but not meal replacements.",neutral
159,A woman did not like meatloaf.,A woman did not like food.,neutral,meatloaf,food,8,"A woman liked meatloaf, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
160,A woman did not like food.,A woman did not like sandwich.,entailment,food,sandwich,8,"A woman liked food, but not meal replacements.","A woman liked sandwich, but not meal replacements.",neutral
161,A woman did not like sandwich.,A woman did not like food.,neutral,sandwich,food,8,"A woman liked sandwich, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
162,A woman did not like food.,A woman did not like bread.,entailment,food,bread,8,"A woman liked food, but not meal replacements.","A woman liked bread, but not meal replacements.",neutral
163,A woman did not like bread.,A woman did not like food.,neutral,bread,food,8,"A woman liked bread, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
164,A woman did not like food.,A woman did not like bagel.,entailment,food,bagel,8,"A woman liked food, but not meal replacements.","A woman liked bagel, but not meal replacements.",neutral
165,A woman did not like bagel.,A woman did not like food.,neutral,bagel,food,8,"A woman liked bagel, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
166,A woman did not like food.,A woman did not like hotdog.,entailment,food,hotdog,8,"A woman liked food, but not meal replacements.","A woman liked hotdog, but not meal replacements.",neutral
167,A woman did not like hotdog.,A woman did not like food.,neutral,hotdog,food,8,"A woman liked hotdog, but not meal replacements.","A woman liked food, but not meal replacements.",entailment
