,sentence1,sentence2,gold_label,sentence1_lex,sentence2_lex,group_index,sentence1_edited,sentence2_edited,gold_label_edited
10,"A man, not wearing a shirt, is sitting on a rock","A man, not wearing a T-shirt, is sitting on a rock",entailment,shirt,t-shirt,2,"A man, wearing a shirt, is sitting on a rock","A man, wearing a t-shirt, is sitting on a rock",neutral
11,"A man, not wearing a T-shirt, is sitting on a rock","A man, not wearing a shirt, is sitting on a rock",neutral,t-shirt,shirt,2,"A man, wearing a t-shirt, is sitting on a rock","A man, wearing a shirt, is sitting on a rock",entailment
12,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a work-shirt is walking holding a tree branch near the park.,entailment,shirt,work-shirt,3,A boy wearing a shirt is walking holding a tree branch near the park.,A boy wearing a work-shirt is walking holding a tree branch near the park.,neutral
13,A boy not wearing a work-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,work-shirt,shirt,3,A boy wearing a work-shirt is walking holding a tree branch near the park.,A boy wearing a shirt is walking holding a tree branch near the park.,entailment
14,A boy not wearing a shirt is walking holding a tree branch near the park.,A boy not wearing a T-shirt is walking holding a tree branch near the park.,entailment,shirt,t-shirt,3,A boy wearing a shirt is walking holding a tree branch near the park.,A boy wearing a t-shirt is walking holding a tree branch near the park.,neutral
15,A boy not wearing a T-shirt is walking holding a tree branch near the park.,A boy not wearing a shirt is walking holding a tree branch near the park.,neutral,t-shirt,shirt,3,A boy wearing a t-shirt is walking holding a tree branch near the park.,A boy wearing a shirt is walking holding a tree branch near the park.,entailment
16,The three children are not holding plants.,The three children are not holding daisies.,entailment,plants,daisies,4,The three children are holding plants.,The three children are holding daisies.,neutral
17,The three children are not holding daisies.,The three children are not holding plants.,neutral,daisies,plants,4,The three children are holding daisies.,The three children are holding plants.,entailment
18,The three children are not holding plants.,The three children are not holding herbs.,entailment,plants,herbs,4,The three children are holding plants.,The three children are holding herbs.,neutral
19,The three children are not holding herbs.,The three children are not holding plants.,neutral,herbs,plants,4,The three children are holding herbs.,The three children are holding plants.,entailment
20,The three children are not holding plants.,The three children are not holding lilies.,entailment,plants,lilies,4,The three children are holding plants.,The three children are holding lilies.,neutral
21,The three children are not holding lilies.,The three children are not holding plants.,neutral,lilies,plants,4,The three children are holding lilies.,The three children are holding plants.,entailment
22,The three children are not holding plants.,The three children are not holding flowers.,entailment,plants,flowers,4,The three children are holding plants.,The three children are holding flowers.,neutral
23,The three children are not holding flowers.,The three children are not holding plants.,neutral,flowers,plants,4,The three children are holding flowers.,The three children are holding plants.,entailment
24,The three children are not holding plants.,The three children are not holding poppies.,entailment,plants,poppies,4,The three children are holding plants.,The three children are holding poppies.,neutral
25,The three children are not holding poppies.,The three children are not holding plants.,neutral,poppies,plants,4,The three children are holding poppies.,The three children are holding plants.,entailment
26,The three children are not holding plants.,The three children are not holding saplings.,entailment,plants,saplings,4,The three children are holding plants.,The three children are holding saplings.,neutral
27,The three children are not holding saplings.,The three children are not holding plants.,neutral,saplings,plants,4,The three children are holding saplings.,The three children are holding plants.,entailment
28,The three children are not holding plants.,The three children are not holding clovers.,entailment,plants,clovers,4,The three children are holding plants.,The three children are holding clovers.,neutral
29,The three children are not holding clovers.,The three children are not holding plants.,neutral,clovers,plants,4,The three children are holding clovers.,The three children are holding plants.,entailment
30,The three children are not holding plants.,The three children are not holding shrubs.,entailment,plants,shrubs,4,The three children are holding plants.,The three children are holding shrubs.,neutral
31,The three children are not holding shrubs.,The three children are not holding plants.,neutral,shrubs,plants,4,The three children are holding shrubs.,The three children are holding plants.,entailment
32,The three children are not holding plants.,The three children are not holding weeds.,entailment,plants,weeds,4,The three children are holding plants.,The three children are holding weeds.,neutral
33,The three children are not holding weeds.,The three children are not holding plants.,neutral,weeds,plants,4,The three children are holding weeds.,The three children are holding plants.,entailment
34,The three children are not holding plants.,The three children are not holding lilacs.,entailment,plants,lilacs,4,The three children are holding plants.,The three children are holding lilacs.,neutral
35,The three children are not holding lilacs.,The three children are not holding plants.,neutral,lilacs,plants,4,The three children are holding lilacs.,The three children are holding plants.,entailment
36,The three children are not holding plants.,The three children are not holding sunflowers.,entailment,plants,sunflowers,4,The three children are holding plants.,The three children are holding sunflowers.,neutral
37,The three children are not holding sunflowers.,The three children are not holding plants.,neutral,sunflowers,plants,4,The three children are holding sunflowers.,The three children are holding plants.,entailment
38,The three children are not holding plants.,The three children are not holding vines.,entailment,plants,vines,4,The three children are holding plants.,The three children are holding vines.,neutral
39,The three children are not holding vines.,The three children are not holding plants.,neutral,vines,plants,4,The three children are holding vines.,The three children are holding plants.,entailment
40,The three children are not holding plants.,The three children are not holding reeds.,entailment,plants,reeds,4,The three children are holding plants.,The three children are holding reeds.,neutral
41,The three children are not holding reeds.,The three children are not holding plants.,neutral,reeds,plants,4,The three children are holding reeds.,The three children are holding plants.,entailment
42,The three children are not holding plants.,The three children are not holding tulips.,entailment,plants,tulips,4,The three children are holding plants.,The three children are holding tulips.,neutral
43,The three children are not holding tulips.,The three children are not holding plants.,neutral,tulips,plants,4,The three children are holding tulips.,The three children are holding plants.,entailment
44,The three children are not holding plants.,The three children are not holding roses.,entailment,plants,roses,4,The three children are holding plants.,The three children are holding roses.,neutral
45,The three children are not holding roses.,The three children are not holding plants.,neutral,roses,plants,4,The three children are holding roses.,The three children are holding plants.,entailment
46,The three children are not holding plants.,The three children are not holding houseplants.,entailment,plants,houseplants,4,The three children are holding plants.,The three children are holding houseplants.,neutral
47,The three children are not holding houseplants.,The three children are not holding plants.,neutral,houseplants,plants,4,The three children are holding houseplants.,The three children are holding plants.,entailment
48,The three children are not holding plants.,The three children are not holding ferns.,entailment,plants,ferns,4,The three children are holding plants.,The three children are holding ferns.,neutral
49,The three children are not holding ferns.,The three children are not holding plants.,neutral,ferns,plants,4,The three children are holding ferns.,The three children are holding plants.,entailment
50,The girl does not wear a hat.,The girl does not wear a sunhat.,entailment,hat,sunhat,5,The girl wears a hat.,The girl wears a sunhat.,neutral
51,The girl does not wear a sunhat.,The girl does not wear a hat.,neutral,sunhat,hat,5,The girl wears a sunhat.,The girl wears a hat.,entailment
52,The girl does not wear a hat.,The girl does not wear a fedora.,entailment,hat,fedora,5,The girl wears a hat.,The girl wears a fedora.,neutral
53,The girl does not wear a fedora.,The girl does not wear a hat.,neutral,fedora,hat,5,The girl wears a fedora.,The girl wears a hat.,entailment
54,The girl does not wear a hat.,The girl does not wear a sombrero.,entailment,hat,sombrero,5,The girl wears a hat.,The girl wears a sombrero.,neutral
55,The girl does not wear a sombrero.,The girl does not wear a hat.,neutral,sombrero,hat,5,The girl wears a sombrero.,The girl wears a hat.,entailment
56,a man walks confidently not dropping produce,a man walks confidently not dropping food,neutral,produce,food,6,a man walks shakily dropping produce,a man walks shakily dropping food,entailment
57,a man walks confidently not dropping food,a man walks confidently not dropping produce,entailment,food,produce,6,a man walks shakily dropping food,a man walks shakily dropping produce,neutral
58,a man walks confidently not dropping produce,a man walks confidently not dropping bananas,entailment,produce,bananas,6,a man walks shakily dropping produce,a man walks shakily dropping bananas,neutral
59,a man walks confidently not dropping bananas,a man walks confidently not dropping produce,neutral,bananas,produce,6,a man walks shakily dropping bananas,a man walks shakily dropping produce,entailment
60,a man walks confidently not dropping produce,a man walks confidently not dropping eggplants,entailment,produce,eggplants,6,a man walks shakily dropping produce,a man walks shakily dropping eggplants,neutral
61,a man walks confidently not dropping eggplants,a man walks confidently not dropping produce,neutral,eggplants,produce,6,a man walks shakily dropping eggplants,a man walks shakily dropping produce,entailment
62,a man walks confidently not dropping produce,a man walks confidently not dropping papayas,entailment,produce,papayas,6,a man walks shakily dropping produce,a man walks shakily dropping papayas,neutral
63,a man walks confidently not dropping papayas,a man walks confidently not dropping produce,neutral,papayas,produce,6,a man walks shakily dropping papayas,a man walks shakily dropping produce,entailment
64,a man walks confidently not dropping produce,a man walks confidently not dropping cauliflower,entailment,produce,cauliflower,6,a man walks shakily dropping produce,a man walks shakily dropping cauliflower,neutral
65,a man walks confidently not dropping cauliflowers,a man walks confidently not dropping produce,neutral,cauliflowers,produce,6,a man walks shakily dropping cauliflowers,a man walks shakily dropping produce,entailment
66,a man walks confidently not dropping produce,a man walks confidently not dropping watermelons,entailment,produce,watermelons,6,a man walks shakily dropping produce,a man walks shakily dropping watermelons,neutral
67,a man walks confidently not dropping watermelons,a man walks confidently not dropping produce,neutral,watermelons,produce,6,a man walks shakily dropping watermelons,a man walks shakily dropping produce,entailment
68,a man walks confidently not dropping produce,a man walks confidently not dropping mangos,entailment,produce,mangos,6,a man walks shakily dropping produce,a man walks shakily dropping mangos,neutral
69,a man walks confidently not dropping mangos,a man walks confidently not dropping produce,neutral,mangos,produce,6,a man walks shakily dropping mangos,a man walks shakily dropping produce,entailment
70,a man walks confidently not dropping produce,a man walks confidently not dropping pears,entailment,produce,pears,6,a man walks shakily dropping produce,a man walks shakily dropping pears,neutral
71,a man walks confidently not dropping pears,a man walks confidently not dropping produce,neutral,pears,produce,6,a man walks shakily dropping pears,a man walks shakily dropping produce,entailment
72,a man walks confidently not dropping produce,a man walks confidently not dropping carrots,entailment,produce,carrots,6,a man walks shakily dropping produce,a man walks shakily dropping carrots,neutral
73,a man walks confidently not dropping carrots,a man walks confidently not dropping produce,neutral,carrots,produce,6,a man walks shakily dropping carrots,a man walks shakily dropping produce,entailment
74,a man walks confidently not dropping produce,a man walks confidently not dropping celery,entailment,produce,celery,6,a man walks shakily dropping produce,a man walks shakily dropping celery,neutral
75,a man walks confidently not dropping celery,a man walks confidently not dropping produce,neutral,celery,produce,6,a man walks shakily dropping celery,a man walks shakily dropping produce,entailment
76,a man walks confidently not dropping produce,a man walks confidently not dropping onions,entailment,produce,onions,6,a man walks shakily dropping produce,a man walks shakily dropping onions,neutral
77,a man walks confidently not dropping onions,a man walks confidently not dropping produce,neutral,onions,produce,6,a man walks shakily dropping onions,a man walks shakily dropping produce,entailment
78,a man walks confidently not dropping produce,a man walks confidently not dropping spinach,entailment,produce,spinach,6,a man walks shakily dropping produce,a man walks shakily dropping spinach,neutral
79,a man walks confidently not dropping spinach,a man walks confidently not dropping produce,neutral,spinach,produce,6,a man walks shakily dropping spinach,a man walks shakily dropping produce,entailment
80,a man walks confidently not dropping produce,a man walks confidently not dropping kale,entailment,produce,kale,6,a man walks shakily dropping produce,a man walks shakily dropping kale,neutral
81,a man walks confidently not dropping kale,a man walks confidently not dropping produce,neutral,kale,produce,6,a man walks shakily dropping kale,a man walks shakily dropping produce,entailment
82,a man walks confidently not dropping produce,a man walks confidently not dropping apples,entailment,produce,apples,6,a man walks shakily dropping produce,a man walks shakily dropping apples,neutral
83,a man walks confidently not dropping apples,a man walks confidently not dropping produce,neutral,apples,produce,6,a man walks shakily dropping apples,a man walks shakily dropping produce,entailment
84,a man walks confidently not dropping produce,a man walks confidently not dropping lettuce,entailment,produce,lettuce,6,a man walks shakily dropping produce,a man walks shakily dropping lettuce,neutral
85,a man walks confidently not dropping lettuce,a man walks confidently not dropping produce,neutral,lettuce,produce,6,a man walks shakily dropping lettuce,a man walks shakily dropping produce,entailment
86,a man walks confidently not dropping produce,a man walks confidently not dropping lemons,entailment,produce,lemons,6,a man walks shakily dropping produce,a man walks shakily dropping lemons,neutral
87,a man walks confidently not dropping lemons,a man walks confidently not dropping produce,neutral,lemons,produce,6,a man walks shakily dropping lemons,a man walks shakily dropping produce,entailment
88,a man walks confidently not dropping produce,a man walks confidently not dropping plums,entailment,produce,plums,6,a man walks shakily dropping produce,a man walks shakily dropping plums,neutral
89,a man walks confidently not dropping plums,a man walks confidently not dropping produce,neutral,plums,produce,6,a man walks shakily dropping plums,a man walks shakily dropping produce,entailment
90,a man walks confidently not dropping produce,a man walks confidently not dropping tomatoes,entailment,produce,tomatoes,6,a man walks shakily dropping produce,a man walks shakily dropping tomatoes,neutral
91,a man walks confidently not dropping tomatoes,a man walks confidently not dropping produce,neutral,tomatoes,produce,6,a man walks shakily dropping tomatoes,a man walks shakily dropping produce,entailment
92,a man walks confidently not dropping produce,a man walks confidently not dropping cucumbers,entailment,produce,cucumbers,6,a man walks shakily dropping produce,a man walks shakily dropping cucumbers,neutral
93,a man walks confidently not dropping cucumbers,a man walks confidently not dropping produce,neutral,cucumbers,produce,6,a man walks shakily dropping cucumbers,a man walks shakily dropping produce,entailment
94,a man walks confidently not dropping produce,a man walks confidently not dropping grapes,entailment,produce,grapes,6,a man walks shakily dropping produce,a man walks shakily dropping grapes,neutral
95,a man walks confidently not dropping grapes,a man walks confidently not dropping produce,neutral,grapes,produce,6,a man walks shakily dropping grapes,a man walks shakily dropping produce,entailment
96,a man walks confidently not dropping produce,a man walks confidently not dropping cabbage,entailment,produce,cabbage,6,a man walks shakily dropping produce,a man walks shakily dropping cabbage,neutral
97,a man walks confidently not dropping cabbage,a man walks confidently not dropping produce,neutral,cabbage,produce,6,a man walks shakily dropping cabbage,a man walks shakily dropping produce,entailment
98,The restaurant does not let oriental people in,The restaurant does not let oriental women in,entailment,people,women,7,The restaurant lets tall people in,The restaurant lets tall women in,neutral
99,The restaurant does not let oriental women in,The restaurant does not let oriental people in,neutral,women,people,7,The restaurant lets tall women in,The restaurant lets tall people in,entailment
100,The restaurant does not let oriental people in,The restaurant does not let oriental youths in,entailment,people,youths,7,The restaurant lets tall people in,The restaurant lets tall youths in,neutral
101,The restaurant does not let oriental youths in,The restaurant does not let oriental people in,neutral,youths,people,7,The restaurant lets tall youths in,The restaurant lets tall people in,entailment
102,A woman did not like food.,A woman did not like guacamole.,entailment,food,guacamole,8,A woman likes food.,A woman likes guacamole.,neutral
103,A woman did not like guacamole.,A woman did not like food.,neutral,guacamole,food,8,A woman likes guacamole.,A woman likes food.,entailment
104,A woman did not like food.,A woman did not like omelet.,entailment,food,omelet,8,A woman likes food.,A woman likes omelet.,neutral
105,A woman did not like omelet.,A woman did not like food.,neutral,omelet,food,8,A woman likes omelet.,A woman likes food.,entailment
106,A woman did not like food.,A woman did not like breakfast.,entailment,food,breakfast,8,A woman likes food.,A woman likes breakfast.,neutral
107,A woman did not like breakfast.,A woman did not like food.,neutral,breakfast,food,8,A woman likes breakfast.,A woman likes food.,entailment
108,A woman did not like food.,A woman did not like soup.,entailment,food,soup,8,A woman likes food.,A woman likes soup.,neutral
109,A woman did not like soup.,A woman did not like food.,neutral,soup,food,8,A woman likes soup.,A woman likes food.,entailment
110,A woman did not like food.,A woman did not like meatball.,entailment,food,meatball,8,A woman likes food.,A woman likes meatball.,neutral
111,A woman did not like meatball.,A woman did not like food.,neutral,meatball,food,8,A woman likes meatball.,A woman likes food.,entailment
112,A woman did not like food.,A woman did not like cake.,entailment,food,cake,8,A woman likes food.,A woman likes cake.,neutral
113,A woman did not like cake.,A woman did not like food.,neutral,cake,food,8,A woman likes cake.,A woman likes food.,entailment
114,A woman did not like food.,A woman did not like ratatouille.,entailment,food,ratatouille,8,A woman likes food.,A woman likes ratatouille.,neutral
115,A woman did not like ratatouille.,A woman did not like food.,neutral,ratatouille,food,8,A woman likes ratatouille.,A woman likes food.,entailment
116,A woman did not like food.,A woman did not like hummus.,entailment,food,hummus,8,A woman likes food.,A woman likes hummus.,neutral
117,A woman did not like hummus.,A woman did not like food.,neutral,hummus,food,8,A woman likes hummus.,A woman likes food.,entailment
118,A woman did not like food.,A woman did not like fondue.,entailment,food,fondue,8,A woman likes food.,A woman likes fondue.,neutral
119,A woman did not like fondue.,A woman did not like food.,neutral,fondue,food,8,A woman likes fondue.,A woman likes food.,entailment
120,A woman did not like food.,A woman did not like rice.,entailment,food,rice,8,A woman likes food.,A woman likes rice.,neutral
121,A woman did not like rice.,A woman did not like food.,neutral,rice,food,8,A woman likes rice.,A woman likes food.,entailment
122,A woman did not like food.,A woman did not like pasta.,entailment,food,pasta,8,A woman likes food.,A woman likes pasta.,neutral
123,A woman did not like pasta.,A woman did not like food.,neutral,pasta,food,8,A woman likes pasta.,A woman likes food.,entailment
124,A woman did not like food.,A woman did not like spaghetti.,entailment,food,spaghetti,8,A woman likes food.,A woman likes spaghetti.,neutral
125,A woman did not like spaghetti.,A woman did not like food.,neutral,spaghetti,food,8,A woman likes spaghetti.,A woman likes food.,entailment
126,A woman did not like food.,A woman did not like lasagna.,entailment,food,lasagna,8,A woman likes food.,A woman likes lasagna.,neutral
127,A woman did not like lasagna.,A woman did not like food.,neutral,lasagna,food,8,A woman likes lasagna.,A woman likes food.,entailment
128,A woman did not like food.,A woman did not like eggs.,entailment,food,eggs,8,A woman likes food.,A woman likes eggs.,neutral
129,A woman did not like eggs.,A woman did not like food.,neutral,eggs,food,8,A woman likes eggs.,A woman likes food.,entailment
130,A woman did not like food.,A woman did not like risotto.,entailment,food,risotto,8,A woman likes food.,A woman likes risotto.,neutral
131,A woman did not like risotto.,A woman did not like food.,neutral,risotto,food,8,A woman likes risotto.,A woman likes food.,entailment
132,A woman did not like food.,A woman did not like fries.,entailment,food,fries,8,A woman likes food.,A woman likes fries.,neutral
133,A woman did not like fries.,A woman did not like food.,neutral,fries,food,8,A woman likes fries.,A woman likes food.,entailment
134,A woman did not like food.,A woman did not like naan.,entailment,food,naan,8,A woman likes food.,A woman likes naan.,neutral
135,A woman did not like naan.,A woman did not like food.,neutral,naan,food,8,A woman likes naan.,A woman likes food.,entailment
136,A woman did not like food.,A woman did not like cereal.,entailment,food,cereal,8,A woman likes food.,A woman likes cereal.,neutral
137,A woman did not like cereal.,A woman did not like food.,neutral,cereal,food,8,A woman likes cereal.,A woman likes food.,entailment
138,A woman did not like food.,A woman did not like kebab.,entailment,food,kebab,8,A woman likes food.,A woman likes kebab.,neutral
139,A woman did not like kebab.,A woman did not like food.,neutral,kebab,food,8,A woman likes kebab.,A woman likes food.,entailment
140,A woman did not like food.,A woman did not like pastry.,entailment,food,pastry,8,A woman likes food.,A woman likes pastry.,neutral
141,A woman did not like pastry.,A woman did not like food.,neutral,pastry,food,8,A woman likes pastry.,A woman likes food.,entailment
142,A woman did not like food.,A woman did not like pretzel.,entailment,food,pretzel,8,A woman likes food.,A woman likes pretzel.,neutral
143,A woman did not like pretzel.,A woman did not like food.,neutral,pretzel,food,8,A woman likes pretzel.,A woman likes food.,entailment
144,A woman did not like food.,A woman did not like corn.,entailment,food,corn,8,A woman likes food.,A woman likes corn.,neutral
145,A woman did not like corn.,A woman did not like food.,neutral,corn,food,8,A woman likes corn.,A woman likes food.,entailment
146,A woman did not like food.,A woman did not like oatmeal.,entailment,food,oatmeal,8,A woman likes food.,A woman likes oatmeal.,neutral
147,A woman did not like oatmeal.,A woman did not like food.,neutral,oatmeal,food,8,A woman likes oatmeal.,A woman likes food.,entailment
148,A woman did not like food.,A woman did not like stew.,entailment,food,stew,8,A woman likes food.,A woman likes stew.,neutral
149,A woman did not like stew.,A woman did not like food.,neutral,stew,food,8,A woman likes stew.,A woman likes food.,entailment
150,A woman did not like food.,A woman did not like muffin.,entailment,food,muffin,8,A woman likes food.,A woman likes muffin.,neutral
151,A woman did not like muffin.,A woman did not like food.,neutral,muffin,food,8,A woman likes muffin.,A woman likes food.,entailment
152,A woman did not like food.,A woman did not like tofu.,entailment,food,tofu,8,A woman likes food.,A woman likes tofu.,neutral
153,A woman did not like tofu.,A woman did not like food.,neutral,tofu,food,8,A woman likes tofu.,A woman likes food.,entailment
154,A woman did not like food.,A woman did not like cheese.,entailment,food,cheese,8,A woman likes food.,A woman likes cheese.,neutral
155,A woman did not like cheese.,A woman did not like food.,neutral,cheese,food,8,A woman likes cheese.,A woman likes food.,entailment
156,A woman did not like food.,A woman did not like gyro.,entailment,food,gyro,8,A woman likes food.,A woman likes gyro.,neutral
157,A woman did not like gyro.,A woman did not like food.,neutral,gyro,food,8,A woman likes gyro.,A woman likes food.,entailment
158,A woman did not like food.,A woman did not like meatloaf.,entailment,food,meatloaf,8,A woman likes food.,A woman likes meatloaf.,neutral
159,A woman did not like meatloaf.,A woman did not like food.,neutral,meatloaf,food,8,A woman likes meatloaf.,A woman likes food.,entailment
160,A woman did not like food.,A woman did not like sandwich.,entailment,food,sandwich,8,A woman likes food.,A woman likes sandwich.,neutral
161,A woman did not like sandwich.,A woman did not like food.,neutral,sandwich,food,8,A woman likes sandwich.,A woman likes food.,entailment
162,A woman did not like food.,A woman did not like bread.,entailment,food,bread,8,A woman likes food.,A woman likes bread.,neutral
163,A woman did not like bread.,A woman did not like food.,neutral,bread,food,8,A woman likes bread.,A woman likes food.,entailment
164,A woman did not like food.,A woman did not like bagel.,entailment,food,bagel,8,A woman likes food.,A woman likes bagel.,neutral
165,A woman did not like bagel.,A woman did not like food.,neutral,bagel,food,8,A woman likes bagel.,A woman likes food.,entailment
166,A woman did not like food.,A woman did not like hotdog.,entailment,food,hotdog,8,A woman likes food.,A woman likes hotdog.,neutral
167,A woman did not like hotdog.,A woman did not like food.,neutral,hotdog,food,8,A woman likes hotdog.,A woman likes food.,entailment
168,A woman did not like food.,A woman did not like burrito.,entailment,food,burrito,8,A woman likes food.,A woman likes burrito.,neutral
169,A woman did not like burrito.,A woman did not like food.,neutral,burrito,food,8,A woman likes burrito.,A woman likes food.,entailment
170,A woman did not like food.,A woman did not like sushi.,entailment,food,sushi,8,A woman likes food.,A woman likes sushi.,neutral
171,A woman did not like sushi.,A woman did not like food.,neutral,sushi,food,8,A woman likes sushi.,A woman likes food.,entailment
172,A woman did not like food.,A woman did not like popcorn.,entailment,food,popcorn,8,A woman likes food.,A woman likes popcorn.,neutral
173,A woman did not like popcorn.,A woman did not like food.,neutral,popcorn,food,8,A woman likes popcorn.,A woman likes food.,entailment
174,A woman did not like food.,A woman did not like cheeseburger.,entailment,food,cheeseburger,8,A woman likes food.,A woman likes cheeseburger.,neutral
175,A woman did not like cheeseburger.,A woman did not like food.,neutral,cheeseburger,food,8,A woman likes cheeseburger.,A woman likes food.,entailment
176,A woman did not like food.,A woman did not like pizza.,entailment,food,pizza,8,A woman likes food.,A woman likes pizza.,neutral
177,A woman did not like pizza.,A woman did not like food.,neutral,pizza,food,8,A woman likes pizza.,A woman likes food.,entailment
178,A woman did not like food.,A woman did not like curry.,entailment,food,curry,8,A woman likes food.,A woman likes curry.,neutral
179,A woman did not like curry.,A woman did not like food.,neutral,curry,food,8,A woman likes curry.,A woman likes food.,entailment
180,A woman did not like food.,A woman did not like meatloaf.,entailment,food,meatloaf,8,A woman likes food.,A woman likes meatloaf.,neutral
181,A woman did not like meatloaf.,A woman did not like food.,neutral,meatloaf,food,8,A woman likes meatloaf.,A woman likes food.,entailment
182,A woman did not like food.,A woman did not like yogurt.,entailment,food,yogurt,8,A woman likes food.,A woman likes yogurt.,neutral
183,A woman did not like yogurt.,A woman did not like food.,neutral,yogurt,food,8,A woman likes yogurt.,A woman likes food.,entailment
184,A woman did not like food.,A woman did not like pudding.,entailment,food,pudding,8,A woman likes food.,A woman likes pudding.,neutral
185,A woman did not like pudding.,A woman did not like food.,neutral,pudding,food,8,A woman likes pudding.,A woman likes food.,entailment
186,A woman did not like food.,A woman did not like falafel.,entailment,food,falafel,8,A woman likes food.,A woman likes falafel.,neutral
187,A woman did not like falafel.,A woman did not like food.,neutral,falafel,food,8,A woman likes falafel.,A woman likes food.,entailment
188,A woman did not like food.,A woman did not like pita.,entailment,food,pita,8,A woman likes food.,A woman likes pita.,neutral
189,A woman did not like pita.,A woman did not like food.,neutral,pita,food,8,A woman likes pita.,A woman likes food.,entailment
190,A woman did not like food.,A woman did not like hamburger.,entailment,food,hamburger,8,A woman likes food.,A woman likes hamburger.,neutral
191,A woman did not like hamburger.,A woman did not like food.,neutral,hamburger,food,8,A woman likes hamburger.,A woman likes food.,entailment
192,The man is not wearing jewelry.,The man is not wearing bracelets.,entailment,jewelry,bracelets,9,The man is wearing jewelry.,The man is wearing bracelets.,neutral
193,The man is not wearing bracelets.,The man is not wearing jewelry.,neutral,bracelets,jewelry,9,The man is wearing bracelets.,The man is wearing jewelry.,entailment
194,The man is not wearing jewelry.,The man is not wearing rings.,entailment,jewelry,rings,9,The man is wearing jewelry.,The man is wearing rings.,neutral
195,The man is not wearing rings.,The man is not wearing jewelry.,neutral,rings,jewelry,9,The man is wearing rings.,The man is wearing jewelry.,entailment
196,The man is not wearing jewelry.,The man is not wearing necklaces.,entailment,jewelry,necklaces,9,The man is wearing jewelry.,The man is wearing necklaces.,neutral
197,The man is not wearing necklaces.,The man is not wearing jewelry.,neutral,necklaces,jewelry,9,The man is wearing necklaces.,The man is wearing jewelry.,entailment
198,The man is not wearing jewelry.,The man is not wearing earrings.,entailment,jewelry,earrings,9,The man is wearing jewelry.,The man is wearing earrings.,neutral
199,The man is not wearing earrings.,The man is not wearing jewelry.,neutral,earrings,jewelry,9,The man is wearing earrings.,The man is wearing jewelry.,entailment
200,The little boy is not wearing any clothes.,The little boy is not wearing any jeans.,entailment,clothes,jeans,10,The little boy is wearing some clothes.,The little boy is wearing some jeans.,neutral
201,The little boy is not wearing any jeans.,The little boy is not wearing any clothes.,neutral,jeans,clothes,10,The little boy is wearing some jeans.,The little boy is wearing some clothes.,entailment
202,The woman is not wearing shoes.,The woman is not wearing sneakers.,entailment,shoes,sneakers,11,The woman is wearing shoes.,The woman is wearing sneakers.,neutral
203,The woman is not wearing sneakers.,The woman is not wearing shoes.,neutral,sneakers,shoes,11,The woman is wearing sneakers.,The woman is wearing shoes.,entailment
204,The woman is not wearing shoes.,The woman is not wearing pumps.,entailment,shoes,pumps,11,The woman is wearing shoes.,The woman is wearing pumps.,neutral
205,The woman is not wearing pumps.,The woman is not wearing shoes.,neutral,pumps,shoes,11,The woman is wearing pumps.,The woman is wearing shoes.,entailment
